# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
tRNA		GCA_002774945.1	Primary Assembly	chromosome	variant34	CM008716.1	14614	14684	+				tRNA-Cys	tRNA-Cys		magneo_184	71		
gene	protein_coding	GCA_002774945.1	Primary Assembly	chromosome	variant34	CM008716.1	16600	16725	+					rpmJ		magneo_185	126		
CDS	with_protein	GCA_002774945.1	Primary Assembly	chromosome	variant34	CM008716.1	16600	16725	+	PIM95430.1			50S ribosomal protein L36	rpmJ		magneo_185	126	41	
gene	rRNA	GCA_002774945.1	Primary Assembly	chromosome	variant35	CM008717.1	1	1414	-							magneo_186	1414		
rRNA		GCA_002774945.1	Primary Assembly	chromosome	variant35	CM008717.1	1	1414	-				16S ribosomal RNA			magneo_186	1414		
gene	protein_coding	GCA_002774945.1	Primary Assembly	chromosome	variant35	CM008717.1	2259	3326	-					etfA		magneo_187	1068		
CDS	with_protein	GCA_002774945.1	Primary Assembly	chromosome	variant35	CM008717.1	2259	3326	-	PIM95423.1			Electron transfer flavoprotein large subunit	etfA		magneo_187	1068	355	
gene	protein_coding	GCA_002774945.1	Primary Assembly	chromosome	variant35	CM008717.1	3761	4501	-					etfB		magneo_188	741		
CDS	with_protein	GCA_002774945.1	Primary Assembly	chromosome	variant35	CM008717.1	3761	4501	-	PIM95424.1			Electron transfer flavoprotein small subunit	etfB		magneo_188	741	246	
gene	protein_coding	GCA_002774945.1	Primary Assembly	chromosome	variant35	CM008717.1	8329	9831	+					cysI		magneo_189	1503		
CDS	with_protein	GCA_002774945.1	Primary Assembly	chromosome	variant35	CM008717.1	8329	9831	+	PIM95425.1			Sulfite reductase [NADPH] hemoprotein beta-component	cysI		magneo_189	1503	500	
gene	protein_coding	GCA_002774945.1	Primary Assembly	chromosome	variant35	CM008717.1	9853	10659	+					fpr		magneo_190	807		
CDS	with_protein	GCA_002774945.1	Primary Assembly	chromosome	variant35	CM008717.1	9853	10659	+	PIM95426.1			Ferredoxin--NADP reductase	fpr		magneo_190	807	268	
gene	tRNA	GCA_002774945.1	Primary Assembly	chromosome	variant35	CM008717.1	12413	12484	-					tRNA-Val		magneo_191	72		
tRNA		GCA_002774945.1	Primary Assembly	chromosome	variant35	CM008717.1	12413	12484	-				tRNA-Val	tRNA-Val		magneo_191	72		
gene	protein_coding	GCA_002774945.1	Primary Assembly	chromosome	variant36	CM008718.1	14853	15761	-					cobT		magneo_192	909		
CDS	with_protein	GCA_002774945.1	Primary Assembly	chromosome	variant36	CM008718.1	14853	15761	-	PIM95420.1			Aerobic cobaltochelatase subunit CobT	cobT		magneo_192	909	302	
gene	tRNA	GCA_002774945.1	Primary Assembly	chromosome	variant37	CM008719.1	53	125	-					tRNA-Ile		magneo_193	73		
tRNA		GCA_002774945.1	Primary Assembly	chromosome	variant37	CM008719.1	53	125	-				tRNA-Ile	tRNA-Ile		magneo_193	73		
gene	rRNA	GCA_002774945.1	Primary Assembly	chromosome	variant37	CM008719.1	8898	10452	+							magneo_194	1555		
rRNA		GCA_002774945.1	Primary Assembly	chromosome	variant37	CM008719.1	8898	10452	+				16S ribosomal RNA			magneo_194	1555		
gene	rRNA	GCA_002774945.1	Primary Assembly	chromosome	variant37	CM008719.1	10927	13502	+							magneo_195	2576		
rRNA		GCA_002774945.1	Primary Assembly	chromosome	variant37	CM008719.1	10927	13502	+				23S ribosomal RNA			magneo_195	2576		
gene	protein_coding	GCA_002774945.1	Primary Assembly	chromosome	variant38	CM008720.1	1048	2124	+					etfA		magneo_196	1077		
CDS	with_protein	GCA_002774945.1	Primary Assembly	chromosome	variant38	CM008720.1	1048	2124	+	PIM95419.1			Electron transfer flavoprotein large subunit	etfA		magneo_196	1077	358	
gene	rRNA	GCA_002774945.1	Primary Assembly	chromosome	variant38	CM008720.1	2900	4454	+							magneo_198	1555		
rRNA		GCA_002774945.1	Primary Assembly	chromosome	variant38	CM008720.1	2900	4454	+				16S ribosomal RNA			magneo_198	1555		
gene	rRNA	GCA_002774945.1	Primary Assembly	chromosome	variant38	CM008720.1	4792	7506	+							magneo_197	2715		
rRNA		GCA_002774945.1	Primary Assembly	chromosome	variant38	CM008720.1	4792	7506	+				23S ribosomal RNA			magneo_197	2715		
gene	tRNA	GCA_002774945.1	Primary Assembly	chromosome	variant39	CM008721.1	249	322	-					tRNA-Met		magneo_199	74		
tRNA		GCA_002774945.1	Primary Assembly	chromosome	variant39	CM008721.1	249	322	-				tRNA-Met	tRNA-Met		magneo_199	74		
gene	rRNA	GCA_002774945.1	Primary Assembly	chromosome	variant39	CM008721.1	348	443	-							magneo_200	96		
rRNA		GCA_002774945.1	Primary Assembly	chromosome	variant39	CM008721.1	348	443	-				5S ribosomal RNA			magneo_200	96		
gene	rRNA	GCA_002774945.1	Primary Assembly	chromosome	variant39	CM008721.1	525	3108	-							magneo_201	2584		
rRNA		GCA_002774945.1	Primary Assembly	chromosome	variant39	CM008721.1	525	3108	-				23S ribosomal RNA			magneo_201	2584		
gene	rRNA	GCA_002774945.1	Primary Assembly	chromosome	variant39	CM008721.1	3577	5130	-							magneo_202	1554		
rRNA		GCA_002774945.1	Primary Assembly	chromosome	variant39	CM008721.1	3577	5130	-				16S ribosomal RNA			magneo_202	1554		
gene	protein_coding	GCA_002774945.1	Primary Assembly	chromosome	variant40	CM008723.1	348	1274	-							magneo_203	927		
CDS	with_protein	GCA_002774945.1	Primary Assembly	chromosome	variant40	CM008723.1	348	1274	-	PIM95414.1			hypothetical protein			magneo_203	927	308	
gene	protein_coding	GCA_002774945.1	Primary Assembly	chromosome	variant40	CM008723.1	1284	2786	-					mnmG		magneo_204	1503		
CDS	with_protein	GCA_002774945.1	Primary Assembly	chromosome	variant40	CM008723.1	1284	2786	-	PIM95415.1			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	mnmG		magneo_204	1503	500	
gene	protein_coding	GCA_002774945.1	Primary Assembly	chromosome	variant40	CM008723.1	2794	3966	-					trmE		magneo_205	1173		
CDS	with_protein	GCA_002774945.1	Primary Assembly	chromosome	variant40	CM008723.1	2794	3966	-	PIM95416.1			tRNA modification GTPase MnmE	trmE		magneo_205	1173	390	
gene	protein_coding	GCA_002774945.1	Primary Assembly	chromosome	variant40	CM008723.1	4352	5248	-					ribD		magneo_206	897		
CDS	with_protein	GCA_002774945.1	Primary Assembly	chromosome	variant40	CM008723.1	4352	5248	-	PIM95417.1			Riboflavin biosynthesis protein RibD	ribD		magneo_206	897	298	
gene	protein_coding	GCA_002774945.1	Primary Assembly	chromosome	variant41	CM008724.1	5085	5870	+					fpr		magneo_207	786		
CDS	with_protein	GCA_002774945.1	Primary Assembly	chromosome	variant41	CM008724.1	5085	5870	+	PIM95412.1			Ferredoxin--NADP reductase	fpr		magneo_207	786	261	
gene	tRNA	GCA_002774945.1	Primary Assembly	chromosome	variant41	CM008724.1	7625	7696	-					tRNA-Val		magneo_208	72		
tRNA		GCA_002774945.1	Primary Assembly	chromosome	variant41	CM008724.1	7625	7696	-				tRNA-Val	tRNA-Val		magneo_208	72		
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000047.1	6731	7423	+					cobM		magneo_210	693		partial
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000047.1	6731	7423	+	PIM95411.1			Cobalt-precorrin-4 C(11)-methyltransferase	cobM		magneo_210	693	231	partial
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000049.1	41	895	-					dnaJ		magneo_211	855		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000049.1	41	895	-	PIM95392.1			Chaperone protein DnaJ	dnaJ		magneo_211	855	284	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000058.1	10278	11420	+					fbcH		magneo_213	1143		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000058.1	10278	11420	+	PIM95324.1			cytochrome b	fbcH		magneo_213	1143	380	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000058.1	12412	13035	+					rpsD		magneo_214	624		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000058.1	12412	13035	+	PIM95325.1			30S ribosomal subunit protein S4	rpsD		magneo_214	624	207	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000058.1	13037	13477	-					ctaE		magneo_215	441		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000058.1	13037	13477	-	PIM95326.1			Cytochrome c oxidase subunit 3	ctaE		magneo_215	441	146	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000058.1	13504	14034	-					ctaG		magneo_216	531		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000058.1	13504	14034	-	PIM95327.1			Cytochrome c oxidase assembly protein CtaG	ctaG		magneo_216	531	176	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000058.1	14037	15341	-					ctaD		magneo_217	1305		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000058.1	14037	15341	-	PIM95328.1			cytochrome c oxidase subunit 1	ctaD		magneo_217	1305	434	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000063.1	3449	4324	-					fpr		magneo_218	876		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000063.1	3449	4324	-	PIM95305.1			Ferredoxin--NADP reductase	fpr		magneo_218	876	291	
gene	rRNA	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000063.1	5746	8319	-							magneo_219	2574		
rRNA		GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000063.1	5746	8319	-				23S ribosomal RNA			magneo_219	2574		
gene	rRNA	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000063.1	8605	10140	-							magneo_220	1536		
rRNA		GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000063.1	8605	10140	-				16S ribosomal RNA			magneo_220	1536		
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000063.1	17612	18361	-					hisE		magneo_221	750		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000063.1	17612	18361	-	PIM95306.1			Phosphoribosyl-ATP pyrophosphatase	hisE		magneo_221	750	249	
gene	rRNA	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000063.1	21720	24293	-							magneo_222	2574		
rRNA		GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000063.1	21720	24293	-				23S ribosomal RNA			magneo_222	2574		
gene	rRNA	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000063.1	24579	26114	-							magneo_223	1536		
rRNA		GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000063.1	24579	26114	-				16S ribosomal RNA			magneo_223	1536		
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000063.1	29738	30469	-					tsf		magneo_224	732		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000063.1	29738	30469	-	PIM95307.1			elongation factor EF-Ts	tsf		magneo_224	732	243	
gene	rRNA	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000063.1	31718	34291	-							magneo_225	2574		
rRNA		GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000063.1	31718	34291	-				23S ribosomal RNA			magneo_225	2574		
gene	rRNA	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000063.1	34577	36112	-							magneo_226	1536		
rRNA		GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000063.1	34577	36112	-				16S ribosomal RNA			magneo_226	1536		
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000065.1	478	4239	-					rpoB		magneo_227	3762		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000065.1	478	4239	-	PIM95285.1			DNA-directed RNA polymerase subunit beta	rpoB		magneo_227	3762	1253	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000065.1	4243	4599	-					rplL		magneo_228	357		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000065.1	4243	4599	-	PIM95286.1			50S ribosomal subunit L7/L12	rplL		magneo_228	357	118	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000065.1	5161	6459	-					hisD		magneo_229	1299		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000065.1	5161	6459	-	PIM95287.1			Histidinol dehydrogenase	hisD		magneo_229	1299	432	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000068.1	263	1213	-					metF		magneo_230	951		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000068.1	263	1213	-	PIM95277.1			5,10-methylenetetrahydrofolate reductase	metF		magneo_230	951	316	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000070.1	595	939	-					rpsM		magneo_231	345		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000070.1	595	939	-	PIM95268.1			30S ribosomal protein S13	rpsM		magneo_231	345	114	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000070.1	4231	4521	-					rplN		magneo_232	291		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000070.1	4231	4521	-	PIM95269.1			50S ribosomal protein L14	rplN		magneo_232	291	96	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000070.1	5133	5756	-					rpsC		magneo_233	624		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000070.1	5133	5756	-	PIM95270.1			30S ribosomal protein S3	rpsC		magneo_233	624	207	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000070.1	5740	6084	-					rplV		magneo_234	345		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000070.1	5740	6084	-	PIM95271.1			50S Ribosomal protein L22p/L17e	rplV		magneo_234	345	114	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000070.1	6345	7148	-					rplB		magneo_235	804		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000070.1	6345	7148	-	PIM95272.1			50S ribosomal subunit protein L2	rplB		magneo_235	804	267	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000070.1	12885	13193	+					rplU		magneo_236	309		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000070.1	12885	13193	+	PIM95273.1			50S ribosomal protein L21	rplU		magneo_236	309	102	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000072.1	1126	1920	-					etfA		magneo_237	795		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000072.1	1126	1920	-	PIM95264.1			Electron transfer flavoprotein large subunit	etfA		magneo_237	795	264	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000074.1	41	577	+					rplE		magneo_238	537		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000074.1	41	577	+	PIM95252.1			50S ribosomal protein L5	rplE		magneo_238	537	178	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000074.1	2579	3025	+					rplO		magneo_239	447		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000074.1	2579	3025	+	PIM95253.1			50S ribosomal protein L15	rplO		magneo_239	447	148	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000074.1	3763	4452	+					rpoA		magneo_240	690		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000074.1	3763	4452	+	PIM95254.1			DNA-directed RNA polymerase subunit alpha	rpoA		magneo_240	690	229	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000074.1	4452	4784	+					rplQ		magneo_241	333		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000074.1	4452	4784	+	PIM95255.1			50S ribosomal subunit protein L17	rplQ		magneo_241	333	110	
gene	tRNA	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000074.1	5509	5583	-					tRNA-Met		magneo_242	75		
tRNA		GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000074.1	5509	5583	-				tRNA-Met	tRNA-Met		magneo_242	75		
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000076.1	22	861	+					etfA		magneo_243	840		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000076.1	22	861	+	PIM95233.1			Electron transfer flavoprotein large subunit	etfA		magneo_243	840	279	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000079.1	3	452	-					def		magneo_244	450		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000079.1	3	452	-	PIM95212.1			Peptide deformylase	def		magneo_244	450	149	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	3867	5303	-					gatA		magneo_265	1437		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	3867	5303	-	PIM95026.1			Glutamyl-tRNA(Gln) amidotransferase subunit A	gatA		magneo_265	1437	478	
gene	tRNA	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	6990	7063	+					tRNA-Val		magneo_266	74		
tRNA		GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	6990	7063	+				tRNA-Val	tRNA-Val		magneo_266	74		
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	8826	9632	-					fpr		magneo_267	807		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	8826	9632	-	PIM95027.1			Ferredoxin--NADP reductase	fpr		magneo_267	807	268	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	15640	16431	+					etfA		magneo_268	792		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	15640	16431	+	PIM95028.1			Electron transfer flavoprotein large subunit	etfA		magneo_268	792	263	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	18666	20006	-					gltX		magneo_269	1341		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	18666	20006	-	PIM95029.1			Glutamate--tRNA ligase	gltX		magneo_269	1341	446	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	21370	21633	+					hisI		magneo_270	264		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	21370	21633	+	PIM95030.1			Phosphoribosyl-AMP cyclohydrolase	hisI		magneo_270	264	87	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	28561	29352	+					etfA		magneo_271	792		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	28561	29352	+	PIM95031.1			Electron transfer flavoprotein large subunit	etfA		magneo_271	792	263	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	33830	34624	-					hisN		magneo_272	795		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	33830	34624	-	PIM95032.1			Histidinol phosphatase	hisN		magneo_272	795	264	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	37133	38767	-					groL		magneo_273	1635		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	37133	38767	-	PIM95033.1			60 kDa chaperonin	groL		magneo_273	1635	544	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	38749	39018	-					groS		magneo_274	270		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	38749	39018	-	PIM95034.1			10 kDa chaperonin	groS		magneo_274	270	89	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	39959	40528	-					ribC		magneo_275	570		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	39959	40528	-	PIM95035.1			Riboflavin synthase alpha chain	ribC		magneo_275	570	189	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	40764	42125	-					glyA		magneo_276	1362		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	40764	42125	-	PIM95036.1			Serine hydroxymethyltransferase	glyA		magneo_276	1362	453	
gene	rRNA	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	42489	45068	-							magneo_277	2580		
rRNA		GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	42489	45068	-				23S ribosomal RNA			magneo_277	2580		
gene	rRNA	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	45780	47334	-							magneo_278	1555		
rRNA		GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	45780	47334	-				16S ribosomal RNA			magneo_278	1555		
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	51751	52278	+					rplY		magneo_279	528		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	51751	52278	+	PIM95037.1			50S ribosomal protein L25	rplY		magneo_279	528	175	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	62864	66211	-					rpoB		magneo_280	3348		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	62864	66211	-	PIM95038.1			DNA-directed RNA polymerase subunit beta	rpoB		magneo_280	3348	1115	
gene	tRNA	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	72476	72552	-					tRNA-Gly		magneo_281	77		
tRNA		GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	72476	72552	-				tRNA-Gly	tRNA-Gly		magneo_281	77		
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	74717	75334	-					etfB		magneo_282	618		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	74717	75334	-	PIM95039.1			Electron transfer flavoprotein small subunit	etfB		magneo_282	618	205	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	76975	77916	-					metF		magneo_283	942		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	76975	77916	-	PIM95040.1			5,10-methylenetetrahydrofolate reductase	metF		magneo_283	942	313	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	78749	79537	-					hisF		magneo_284	789		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	78749	79537	-	PIM95041.1			Imidazole glycerol phosphate synthase subunit HisF	hisF		magneo_284	789	262	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	79530	80276	-					hisA		magneo_285	747		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	79530	80276	-	PIM95042.1			1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	hisA		magneo_285	747	248	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	80255	80911	-					hisH		magneo_286	657		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	80255	80911	-	PIM95043.1			Imidazole glycerol phosphate synthase subunit HisH 1	hisH		magneo_286	657	218	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	80902	81483	-					hisB		magneo_287	582		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	80902	81483	-	PIM95044.1			Imidazoleglycerol-phosphate dehydratase	hisB		magneo_287	582	193	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	81492	81899	-					rpsI		magneo_288	408		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	81492	81899	-	PIM95045.1			30S ribosomal subunit protein S9	rpsI		magneo_288	408	135	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	81892	82278	-					rplM		magneo_289	387		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000109.1	81892	82278	-	PIM95046.1			50S ribosomal protein L13	rplM		magneo_289	387	128	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000088.1	277	852	+					dnaQ		magneo_245	576		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000088.1	277	852	+	PIM95177.1			DNA polymerase III subunit epsilon	dnaQ		magneo_245	576	191	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000088.1	1826	2680	-					cobD		magneo_246	855		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000088.1	1826	2680	-	PIM95178.1			cobalamin biosynthesis protein	cobD		magneo_246	855	284	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000088.1	9576	10214	+					cobB1		magneo_247	639		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000088.1	9576	10214	+	PIM95179.1			Hydrogenobyrinate a,c-diamide synthase	cobB1		magneo_247	639	212	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000088.1	11171	15190	-					rpoC		magneo_248	4020		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000088.1	11171	15190	-	PIM95180.1			DNA-directed RNA polymerase subunit beta'	rpoC		magneo_248	4020	1339	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000088.1	15193	18942	-					rpoB		magneo_249	3750		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000088.1	15193	18942	-	PIM95181.1			DNA-directed RNA polymerase subunit beta	rpoB		magneo_249	3750	1249	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000088.1	27604	28458	+					cobD		magneo_250	855		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000088.1	27604	28458	+	PIM95182.1			cobalamin biosynthesis protein	cobD		magneo_250	855	284	
gene	protein_coding	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000088.1	29432	30007	-					dnaQ		magneo_251	576		
CDS	with_protein	GCA_002774945.1	Primary Assembly	unplaced scaffold		NXGM01000088.1	29432	30007	-	PIM95183.1			DNA polymerase III subunit epsilon	dnaQ		magneo_251	576	191	
